"","Timestamp","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.zum.Zwecke.der.Veranschaulichung.von.Methoden.in.den.Vorlesungen.Statistik.1...2.sowie.in.den.dazugehoerigen.Tutorien.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.morgens.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.wuerden.Sie.waehlen..wenn.am.kommenden.Sonntag.eine.Bundestagswahl.waere.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"1","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,191,8,8,9,9,"1,0","12","ja",12,10,"ja","Gruene","Dr.","nein","ja"
"2","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",45,123,5,5,6,4,"1,3","0","nein",10,16,"bin nicht sicher","FDP","Diplom (abgeschlossenes Studium)","ja","ja"
"3","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,159,8,8,8,2,"2,2","15","keine Ahnung",12,45,"ja","eine andere Partei","Abitur","nein","ja"
"4","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,186,6,8,7,1,"3,1","9","ja",14,25,"nein","AfD","Dr.","ja","ja"
"5","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,172,6,6,6,4,"2,7","11","keine Ahnung",11,50,"moechte ich nicht sagen","eine andere Partei","Hauptschul- oder Realschulabschluss","nein","nein"
"6","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,182,5,8,2,3,"3,1","15","nein",100,70,"nein","wuerde nicht waehlen gehen","Abitur","ja","ja"
"7","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,188,6,8,4,1,"1,7","11","nein",17,18,"nein","Gruene","Diplom (abgeschlossenes Studium)","nein","nein"
"8","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,186,8,7,1,6,"2,8","kann Frage nicht sinnvoll beantworten","keine Ahnung",2,10,"ja","FDP","Hauptschul- oder Realschulabschluss","ja","ja"
"9","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,185,8,10,5,4,"3,2","14","ja",16,25,"nein","Gruene","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","nein"
"10","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,172,6,10,5,5,"3,3","9","ja",1,10,"nein","eine andere Partei","Abitur","nein","ja"
"11","2019/10/12 00:00:00 PM OESZ","nein, ich bin nicht einverstanden","maennlich",40,179,8,10,4,3,"2,2","7","keine Ahnung",60,45,"ja","CDU/CSU","Abitur","ja","ja"
"12","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,172,7,4,7,8,"3,1","14","ja",70,75,"nein","wuerde nicht waehlen gehen","Abitur","nein","nein"
"13","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,169,8,9,7,3,"3,1","8","nein",6,30,"ja","AfD","Hauptschul- oder Realschulabschluss","ja","ja"
"14","2019/10/12 00:00:00 PM OESZ","","weiblich",38,158,8,8,5,4,"1,9","11","ja",2,5,"ja","wuerde nicht waehlen gehen","Hauptschul- oder Realschulabschluss","nein","ja"
"15","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,188,5,6,3,4,"3,0","6","nein",4,5,"nein","FDP","Hauptschul- oder Realschulabschluss","ja","ja"
"16","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,182,4,7,3,2,"2,9","10","nein",12,15,"bin nicht sicher","Gruene","Abitur","nein","ja"
"17","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,163,8,9,7,9,"3,6","7","nein",12,35,"ja","Die Linke","Hauptschul- oder Realschulabschluss","ja","nein"
"18","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,175,6,9,5,3,"2,4","10","nein",16,35,"ja","CDU/CSU","Abitur","nein","ja"
"19","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,170,5,9,4,4,"3,0","3","keine Ahnung",8,15,"ja","eine andere Partei","Dr.","ja","ja"
"20","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,177,9,8,9,5,"1,5","13","nein",5.5,28,"nein","Gruene","Diplom (abgeschlossenes Studium)","nein","nein"
"21","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,182,8,9,10,5,"2,8","14","keine Ahnung",3,10,"nein","SPD","Abitur","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"22","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,176,9,10,8,7,"2,3","14","ja",4,10,"ja","FDP","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"23","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,187,7,10,7,6,"2,5","11","ja",7,25,"ja","FDP","Diplom (abgeschlossenes Studium)","ja","ja"
"24","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",43,180,7,5,6,5,"1,9","11","nein",35,50,"moechte ich nicht sagen","eine andere Partei","Hauptschul- oder Realschulabschluss","nein",""
"25","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,182,6,6,7,2,"2,4","15","keine Ahnung",37,100,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss","nein","nein"
"26","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,182,6,9,4,3,"2,5","11","keine Ahnung",33,35,"nein","Gruene","Hauptschul- oder Realschulabschluss","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"27","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,179,8,4,9,3,"1,9","15","ja",25,55,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
"28","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,187,8,8,7,2,"2,3","8","ja",12,20,"nein","Gruene","Dr.","nein","ja"
"29","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,194,8,8,6,7,"2,8","14","keine Ahnung",70,70,"ja","FDP","Diplom (abgeschlossenes Studium)","nein","ja"
"30","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,183,8,8,9,8,"2,3","12","keine Ahnung",100,65,"ja","Gruene","Hauptschul- oder Realschulabschluss","nein","ja"
"31","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,181,8,10,7,10,"3,1","9","ja",14,50,"ja","FDP","Hauptschul- oder Realschulabschluss","nein","nein"
"32","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,171,2,6,1,4,"1,6","7","ja",3,30,"bin nicht sicher","Die Linke","Diplom (abgeschlossenes Studium)","nein","wie bitte"
"33","2019/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,191,8,6,10,6,"3,0","13","keine Ahnung",4,40,"nein","Gruene","","bin Gelegenheitsraucher*in (z.B. bei Partys)","ja"
