"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.haben..bzw..haetten..Sie.bei.der.Bundestagswahl.gewaehlt.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"1","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,181,28,10,10,7,4,"2,4","8","ja",1,5,"nein","FDP","Diplom (abgeschlossenes Studium)",NA,"nein","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"2","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,196,16,7,9,3,6,"3,2","4","nein",2.8,25,"bin nicht sicher","FDP","Abitur",3000,"nein","gelegentlich (einige Male pro Monat)","nein","ja"
"3","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,189,42,8,6,8,8,"3,2","6","keine Ahnung",17,105,"ja","CDU/CSU","Hauptschul- oder Realschulabschluss",3000,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"4","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",36,175,7,8,10,7,4,"3,2","15","ja",8,10,"ja","Gruene","Diplom (abgeschlossenes Studium)",2500,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"5","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39.5,184,27,10,7,8,10,"1,3","12","ja",8,5,"nein","SPD","Dr.",4000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"6","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,189,10,7,9,5,6,"2,7","8","keine Ahnung",4.5,25,"nein","SPD","Hauptschul- oder Realschulabschluss",2150,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"7","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,161,35,8,9,5,1,"2,2","8","nein",13,40,"ja","SPD","Hauptschul- oder Realschulabschluss",2000,"ja","nein, nie","nein","nein"
"8","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,190,18,9,10,8,6,"1,6","13","ja",6,45,"ja","Die Linke","Abitur",2500,"nein","gelegentlich (einige Male pro Monat)","nein","ja"
"9","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,169,10,6,6,3,5,"2,5","10","ja",6,30,"nein","SPD","Hauptschul- oder Realschulabschluss",16,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"10","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,163,0,6,9,6,4,"1,6","14","ja",19,75,"ja","Die Linke","Hauptschul- oder Realschulabschluss",2700,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"11","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,187,20,3,10,8,1,"3,0","12","nein",50,70,"nein","FDP","Diplom (abgeschlossenes Studium)",2700,"nein","selten (einige Male pro Jahr)","nein","nein"
"12","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,178,0,5,8,NA,5,"2,0","9","ja",12,25,"ja","eine andere Partei","Dr.",10000,"ja","gelegentlich (einige Male pro Monat)","","nein"
"13","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,175,40,5,10,6,4,"3,2","9","ja",9,40,"nein","FDP","Hauptschul- oder Realschulabschluss",2.5,"ja","haeufig (einige Male pro Woche)","nein","ja"
"14","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43.5,176,10,4,8,6,7,"2,0","13","ja",9,30,"ja","Gruene","Hauptschul- oder Realschulabschluss",4000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"15","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,166,4,5,9,5,6,"2,9","9","nein",30,40,"nein","SPD","Hauptschul- oder Realschulabschluss",NA,"nein","nein, nie","nein","nein"
"16","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",40,164,20,1,5,2,1,"2,6","10","keine Ahnung",25,50,"nein","Gruene","Hauptschul- oder Realschulabschluss",2000,"ja","selten (einige Male pro Jahr)","nein","nein"
"17","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,196,35,7,7,2,2,"1,5","14","ja",2,15,"ja","SPD","Diplom (abgeschlossenes Studium)",1700,"ja","selten (einige Male pro Jahr)","nein","nein"
"18","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,190,35,4,7,7,2,"2,7","10","nein",15,22,"nein","FDP","Abitur",42069,"ja","gelegentlich (einige Male pro Monat)","nein","ja"
"19","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",42,155,7,5,6,4,6,"3,3","kann Frage nicht sinnvoll beantworten","nein",25,65,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","selten (einige Male pro Jahr)","nein","nein"
"20","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,186,40,8,9,3,5,"2,4","6","keine Ahnung",0.4,20,"nein","FDP","Hauptschul- oder Realschulabschluss",2500,"ja","haeufig (einige Male pro Woche)","nur gelegentlich","ja"
"21","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,167,1,9,9,10,5,"1,9","14","nein",14,75,"nein","FDP","Abitur",NA,"ja","selten (einige Male pro Jahr)","nein","nein"
"22","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,170,20,4,5,9,4,"2,8","10","nein",6,20,"ja","SPD","Hauptschul- oder Realschulabschluss",2800,"ja","nein, nie","nein","nein"
"23","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,182,13,4,8,7,3,"2,4","8","nein",19,25,"nein","FDP","Hauptschul- oder Realschulabschluss",3800,"ja","nein, nie","nein","nein"
"24","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,195,32,5,7,4,6,"2,4","4","nein",10,60,"ja","FDP","Diplom (abgeschlossenes Studium)",4500,"ja","haeufig (einige Male pro Woche)","nein","nein"
"25","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,177,25,7,9,10,6,"1,1","15","ja",70,65,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","gelegentlich (einige Male pro Monat)","nein","nein"
"26","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,1.94,13,2,8,1,6,"2,9","10","keine Ahnung",20,15,"nein","FDP","Abitur",3000,"ja","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"27","2021/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,187,42,5,6,4,5,"3,4","5","nein",16,30,"nein","FDP","Abitur",3500,"ja","nein, nie","nein","ja"
