"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Dieses.Einverstaendnis.kann.jederzeit.durch.Nachricht.an.den.Dozenten.widerrufen.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Koennten.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.haben..bzw..haetten..Sie.bei.der.Bundestagswahl.gewaehlt.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"1","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,172,0,7,7,9,2,"2,7","9","ja",3,10,"nein","Gruene","Hauptschul- oder Realschulabschluss",2700,"nein","3","selten (einige Male pro Jahr)","nein","nein"
"2","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,184,12,7,9,9,1,"1,4","13","ja",17,35,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"ja","4","nein, nie","nein","nein"
"3","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,179,30,7,10,6,7,"2,7","11","keine Ahnung",50,30,"nein","FDP","Diplom (abgeschlossenes Studium)",2500,"ja","3","gelegentlich (einige Male pro Monat)","nein","nein"
"4","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",40,172,2,6,9,5,5,"2,5","10","ja",8.7,10,"nein","FDP","Diplom (abgeschlossenes Studium)",2500,"ja","6","haeufig (einige Male pro Woche)","nein","ja"
"5","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,165,6,4,7,4,2,"2,7","5","nein",40,50,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","4","nein, nie","nein","nein"
"6","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,185,30,7,9,5,1,"2,6","11","nein",3,14,"ja","FDP","Abitur",60000,"nein","3","gelegentlich (einige Male pro Monat)","ja","ja"
"7","2022/10/12 00:00:00 PM OESZ","","maennlich",43,188,40,3,5,6,4,"3,0","10","nein",12,30,"nein","war nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"8","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,190,15,7,8,9,8,"2,2","13","ja",6,5,"ja","FDP","Abitur",4000,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"9","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,193,25,9,7,10,7,"2,0","13","ja",25,15,"nein","CDU/CSU","Hauptschul- oder Realschulabschluss",2800,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"10","2022/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,170,5,7,9,4,4,"2,3","5","keine Ahnung",45,50,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"ja","6","gelegentlich (einige Male pro Monat)","nur gelegentlich","nein"
