"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Welche.Koerpergroesse..in.cm..steht.in.Ihrem.Perso.","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Koennen.Sie.sich.vorstellen..einen.Dr..zu.machen.","Wie.viele.Stunden.pro.Woche.treiben.Sie.Sport.","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.werden.Sie.bei.der.naechsten.Bundestagswahl.voraussichtlich.waehlen.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft."
"1","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,195,55,10,7,8,9,"1,9","13",5,15,"ja",3.5,"ja","Gruene","Diplom (abgeschlossenes Studium)",2500,"nein","2","haeufig (einige Male pro Woche)","nein","ja"
"2","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,177,40,8,7,8,7,"2,7","15",5,20,"nein",4,"ja","Gruene","Abitur",3000,"ja","1","selten (einige Male pro Jahr)","nein","ja"
"3","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,193,16,3,8,2,3,"2,9","9",14,5,"ja",9,"ja","AfD","Abitur",2500,"ja","8","haeufig (einige Male pro Woche)","ja","ja"
"4","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,194,50,5,3,8,6,"2,0","15",30,8,"nein",11,"ja","werde nicht waehlen","Diplom (abgeschlossenes Studium)",5,"ja","10","haeufig (einige Male pro Woche)","nein","ja"
"5","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,168,8,5,10,2,4,"3,7","7",12,40,"keine Ahnung",NA,"nein","SPD","Hauptschul- oder Realschulabschluss",3500,"ja","10","selten (einige Male pro Jahr)","nein","ja"
"6","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46.5,182,25,10,10,9,9,"1,8","kann Frage nicht sinnvoll beantworten",7,12,"nein",1,"ja","Die Linke","Diplom (abgeschlossenes Studium)",2500,"ja","4","selten (einige Male pro Jahr)","nein","nein"
"7","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,50,5,7,3,5,"2,6","11",1,15,"nein",10,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",5000,"ja","7","selten (einige Male pro Jahr)","nein","ja"
"8","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,159,0,8,10,10,8,"3,1","7",35,50,"ja",5,"nein","werde nicht waehlen","Abitur",4000,"ja","5","nein, nie","nein","nein"
"9","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",38,166,11,9,6,8,10,"3,0","14",7,10,"keine Ahnung",4,"ja","Die Linke","Diplom (abgeschlossenes Studium)",6000,"ja","5","selten (einige Male pro Jahr)","ja","ja"
"10","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",41,175,0,8,4,6,7,"1,9","8",0,10,"ja",4,"bin nicht sicher","Die Linke","Diplom (abgeschlossenes Studium)",2500,"ja","5","selten (einige Male pro Jahr)","nur gelegentlich","ja"
"11","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,199,32,4,6,8,1,"3,4","11",35,30,"nein",4,"nein","SPD","Diplom (abgeschlossenes Studium)",3000,"ja","5","gelegentlich (einige Male pro Monat)","nur gelegentlich","ja"
"12","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,181,45,8,8,5,9,"2,9","4",40,45,"nein",9,"nein","werde nicht waehlen","Abitur",3500,"ja","6","gelegentlich (einige Male pro Monat)","nein","nein"
"13","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,172,32,4,8,6,6,"3,9","7",70,80,"nein",5,"nein","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3000,"nein","4","nein, nie","ja","ja"
"14","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,177,25,7,7,3,1,"3,0","3",35,50,"ja",12,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",3500,"ja","4","nein, nie","nur gelegentlich","ja"
"15","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43,184,60,6,9,3,2,"1,2","12",10,4,"ja",7,"ja","eine andere Partei","Dr.",3e+05,"ja","6","selten (einige Male pro Jahr)","nein","ja"
"16","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,182,15,7,9,9,4,"2,6","12",5,5,"ja",13,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",5000,"ja","7","selten (einige Male pro Jahr)","nein","nein"
"17","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,191,60,9,6,6,3,"2,8","13",45,65,"nein",6,"ja","AfD","Diplom (abgeschlossenes Studium)",4000,"ja","8","nein, nie","ja","nein"
"18","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,195,10,9,9,6,5,"2,3","6",25,35,"nein",8,"ja","CDU/CSU","Abitur",NA,"ja","4,5","gelegentlich (einige Male pro Monat)","nein","ja"
"19","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",45,183,25,5,10,7,7,"3,1","11",9,5,"keine Ahnung",11,"nein","FDP","Dr.",4500,"ja","3,5","gelegentlich (einige Male pro Monat)","nein","nein"
"20","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","moechte ich nicht sagen",2,-5,0,7,7,7,7,"3,1","kann Frage nicht sinnvoll beantworten",9,20,"keine Ahnung",4.5,"moechte ich nicht sagen","darf nicht waehlen","Dr.",520,"ja","Ka ","nein, nie","nein","nein"
"21","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,186,5,4,4,4,7,"3,3","8",31,70,"nein",2,"nein","Die Linke","Hauptschul- oder Realschulabschluss",3000,"ja","3","selten (einige Male pro Jahr)","nein","nein"
"22","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",41,174,65,4,5,4,2,"3,2","4",14,65,"nein",7,"ja","werde nicht waehlen","Hauptschul- oder Realschulabschluss",4000,"ja","10","nein, nie","nein","nein"
"23","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,179,42,2,8,5,2,"3,0","10",5,45,"nein",5,"ja","AfD","Hauptschul- oder Realschulabschluss",2500,"ja","4","gelegentlich (einige Male pro Monat)","nein","ja"
"24","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",47,177,15,5,7,2,5,"2,5","4",14,30,"nein",8,"nein","FDP","Hauptschul- oder Realschulabschluss",6000,"ja","5","selten (einige Male pro Jahr)","nein","nein"
"25","2023/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,180,5,4,8,6,6,"2,8","9",30,35,"nein",6,"nein","AfD","Hauptschul- oder Realschulabschluss",20000,"ja","5","gelegentlich (einige Male pro Monat)","ja","ja"
