"","Zeitstempel","X...WICHTIG.....Ich.bin.damit.einverstanden..dass.die.mit.dieser.Umfrage.gesammelten..anonymen..Daten.vom.Dozenten.zum.Zwecke.der.Veranschaulichung.von.Methoden.genutzt.werden..Potenziell.sensible.Informationen.werden.nicht.an.Dritte.weitergegeben..","Ihr.Geschlecht.","Welche.Schuhgroesse.haben.Sie.","Was.ist.Ihre.Koerpergroesse..in.cm..","Geben.Sie.an.bzw..schaetzen.Sie..wie.viele.Liegestuetze.Sie.am.Stueck.schaffen.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Statistik.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.wirtschaftliche.Zusammenhaenge.","Auf.einer.Skala.von.1..ueberhaupt.nicht..bis.10..sehr.stark...wie.sehr.interessieren.Sie.sich.fuer.Mathematik.","Auf.einer.Skala.von.1..ueberhaupt.nicht.gerne..bis.10..sehr.gerne...wie.gerne.ueben.Sie.Programmiertaetigkeiten.aus.","Wie.war.Ihr.Abischnitt.","Wie.viele.Punkte.hatten.Sie.in.der.Schule.zuletzt.in.Mathematik.","Wie.weit.entfernt.von.der.Uni.wohnen.Sie.waehrend.des.Semesters..Schaetzen.Sie.die.Entfernung..in.km..","Wie.lange.brauchen.Sie.fuer.Ihren.Weg.zur.Uni..Schaetzen.Sie.die.Dauer..in.Minuten..","Koennen.Sie.sich.vorstellen..einen.Dr..zu.machen.","Muessen.Sie.nebenbei.arbeiten..um.Ihr.Studium.zu.finanzieren.","Wie.viele.Stunden.pro.Woche.treiben.Sie.Sport.","Haben.Sie.derzeit.einen.Partner.bzw..eine.Partnerin.","Welche.Partei.werden.Sie.bei.der.naechsten.Bundestagswahl.voraussichtlich.waehlen.","Was.ist.der.hoechste.von.einem.Ihrer.Elternteile.erreichte.Bildungsgrad.","Welches.Einstiegsgehalt..Euro..monatlich..netto..erwarten.Sie.fuer.sich.nach.Abschluss.des.Studiums.","Kommen.Sie.aus.Ostwestfalen.","Ihre.Handy.Bildschirmzeit.am.Tag...in.Stunden.","Trinken.Sie.Alkohol.","Rauchen.Sie.","Haben.Sie.schon.mal.gekifft.","Soll.der.Dozent.in.der.Vorlesung.gendern."
"1","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",48,196,52,8,8,6,9,"1,9","14",6,20,"ja","1",5,"ja","Gruene","Diplom (abgeschlossenes Studium)",3000,"nein","2","haeufig (einige Male pro Woche)","nein","ja","unbedingt"
"2","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,183,7,5,9,3,4,"3,0","5",30,40,"ja","ja",6,"nein","FDP","Abitur",4000,"ja","5","selten (einige Male pro Jahr)","nur gelegentlich","nein","bitte nicht"
"3","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,175,15,6,8,9,9,"1,9","13",26,30,"ja","ja",9,"nein","CDU/CSU","Diplom (abgeschlossenes Studium)",NA,"ja","2","gelegentlich (einige Male pro Monat)","nein","nein","mir egal"
"4","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",43.5,192,45,4,6,4,2,"2,9","8",110,100,"keine Ahnung","ja",8,"nein","werde nicht waehlen","Diplom (abgeschlossenes Studium)",2500,"nein","5","selten (einige Male pro Jahr)","nur gelegentlich","ja","bitte nicht"
"5","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",37,164,5,7,8,6,5,"2,8","9",90,65,"nein","ja",2.5,"nein","eine andere Partei","Hauptschul- oder Realschulabschluss",3000,"nein","","nein, nie","nein","nein","bitte nicht"
"6","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",46,195,20,5,10,10,1,"2,5","9",11,55,"ja","ja",NA,"bin nicht sicher","Die Linke","Dr.",NA,"ja","5","haeufig (einige Male pro Woche)","ja","ja","unbedingt"
"7","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",44,185,15,6,8,8,5,"1,9","8",2,9,"nein","nein",4.5,"nein","SPD","Hauptschul- oder Realschulabschluss",3000,"ja","6","haeufig (einige Male pro Woche)","nein","nein","mir egal"
"8","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,184,15,6,10,4,4,"2,7","6",50,120,"nein","ja",1.5,"ja","eine andere Partei","Hauptschul- oder Realschulabschluss",1500,"ja","7-8h","gelegentlich (einige Male pro Monat)","nein","nein","bitte nicht"
"9","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","maennlich",42,181,0,7,6,5,1,"2,0","11",3,10,"keine Ahnung","nein",7,"ja","CDU/CSU","Diplom (abgeschlossenes Studium)",3000,"ja","6","gelegentlich (einige Male pro Monat)","nein","ja","mir egal"
"10","2024/10/12 00:00:00 PM OESZ","ja, ich bin einverstanden","weiblich",39,170,2,5,4,3,4,"3,1","10",20,50,"nein","nein",1.5,"ja","Gruene","Abitur",2300,"ja","5","selten (einige Male pro Jahr)","nein","nein","mir egal"
